Ticker,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021
BRAX11,80,85,88.8,95.85,94.4,85.68,61,66.9,74,80.25,85.5,85.3,79.61,80.6,92.98,99.1,98.4,92.85,97.26,101.7,107.5,109.37
IVVB11,120,130,143.6,138.71,148.1,141.56,144.62,170.5,177.15,177.99,182.72,205,206.8,210,207,210.8,221.3,231,249.4,245.93,238,232.6
BBSD11,82.9,85.5,87.03,96.47,94,87.01,62.59,67,72.29,79.15,84.36,81.43,77.12,77.32,89.13,92.45,91.66,84.9,87.8,90.5,93.8,95.68
MSFT34,,,,,,,,,,,,,,,,,49.14,54.92,57.81,57.15,54.25,52.45
TSLA34,,,,,,,,,,,,,,,,,,,118,120,101.65,96.01
IRDM11,,,,,,,,,,,,,,,,,,,135.98,139.02,131.07,131.39
DISB34,,,,,,,,,,,,,,,,,,,71.95,67.45,61.95,60.11
BTC,,,,,,,,,,,,,,,,,,,336559.52,317749.99,194601,196991.07
ETH,,,,,,,,,,,,,,,,,,,11929.97,15204.14,14149.95,14200
FBOK34,,,,,,,,,,,,,,,,,,,,63.2,60.91,59.85
Cash,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
