Ticker,TER,Volatility,USA,EU,BR,EM,Bonds,Cash,Commod,Basic Mat,Cons Cycl,Finance,Real Estate,Telecom,Energy,Indust,Tech,Cons Non-Cycl,Health,Util,Crypto,Cat
BRAX11,0.2,17.38,0,0,99.25,0,0,0.75,0,11.3,9.1,33.48,1.45,1.62,12.39,5.49,1.18,12.53,3.27,8.2,0,1
GOVE11,0.5,22.55,0,0,99.25,0,0,0.75,0,11.3,9.1,33.48,1.45,1.62,12.39,5.49,1.18,12.53,3.27,8.2,0,1
PIBB11,0.059,17.68,0,0,100,0,0,0,0,13.45,9.57,37.94,1.22,1.38,14.88,5.2,0.55,12.66,0,3.16,0,1.1
BOVB11,0.2,17.73,0,0,100,0,0,0,0,12.16,9.41,34.81,1.33,1.78,13.46,5.7,0.5,12.85,2.72,5.28,0,1
BOVV11,0.3,17.73,0,0,100,0,0,0,0,12.16,9.41,34.81,1.33,1.78,13.46,5.7,0.5,12.85,2.72,5.28,0,1
IVVB11,0.24,12.18,98.88,0.99,0,0,0,0.14,0,2.4,11.76,15.68,3.22,3.41,4.53,10.39,23.33,8.12,13.56,3.59,0,2
BBSD11,0.5,17.73,97.79,2.21,0,0,0,0,0,7.24,11.03,14.6,7.28,3.31,4.14,17.26,2.99,16.75,7.38,8.04,0,3
DIVO11,0.5,19.25,100,0,0,0,0,0,0,1,10.52,32.36,1.69,3.36,0,4.39,3.07,0.99,7.89,34.71,0,3
MATB11,0.5,22.55,0,0,100,0,0,0,0,93.15,0,6.85,0,0,0,0,0,0,0,0,0,4
Cash,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOGL34,0,13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,10
AAPL34,0,24,100,0,0,0,0,0,0,0,0,0,0,25,0,0,75,0,0,0,0,11
MSFT34,0,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,10
FBOK34,0,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,10
AMZN34,0,20,100,0,0,0,0,0,0,0,25,0,0,0,0,0,50,25,0,0,0,12
S1PO34,0,36,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,13
NFLX34,0,24,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,14
DISB34,0,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,14
MELI34,0,36,100,0,0,0,0,0,0,0,25,0,0,0,0,0,50,25,0,0,0,12
COCA34,0,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,15
MCDC34,0,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,15
TSLA34,0,60,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16
PFIZ34,0,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,17
JPMC34,0,12,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,18
BERK34,0,12,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,18
IRM11,0.17,12,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,19
BTC,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,20
ETH,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,20
