From,To,Date,Value
BB,Nu,20/09/2019,12491.07
Nu,Easy,30/10/2019,1455
Nu,Easy,14/11/2019,731.4
Nu,Easy,26/11/2019,870.27
Nu,Easy,09/12/2019,537
Nu,Cash,01/01/2020,20
Nu,Easy,03/01/2020,1410
Nu,Easy,13/01/2020,500
Nu,Easy,24/01/2020,2980
Nu,Easy,07/02/2020,400
Nu,Easy,13/02/2020,50
Nu,Easy,04/03/2020,860
Nu,Easy,04/03/2020,20
Nu,Easy,07/04/2020,1300
Nu,Easy,25/09/2020,1400
Nu,Easy,19/01/2021,2150
Nu,Easy,25/02/2021,970
Nu,Easy,26/02/2021,540
Nu,Easy,02/03/2021,750
Nu,BT,03/03/2021,2200
Nu,Easy,04/03/2021,1400
Nu,Easy,05/03/2021,683
Nu,Easy,09/03/2021,531
Nu,Easy,09/04/2021,1135
Nu,BT,18/04/2021,2500
Nu,Easy,22/04/2021,563
Nu,Easy,27/04/2021,2490
Nu,Easy,10/05/2021,1080
Nu,Easy,14/05/2021,3025
Nu,Easy,14/05/2021,10
Nu,Easy,21/05/2021,590
Nu,BT,20/05/2021,2200
